Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv2d-1,32,32,3,3,3,32,1,
Conv2d-2,32,32,3,3,32,32,1,
Conv2d-3,32,32,3,3,32,64,1,
Conv2d-4,32,32,1,1,64,80,1,
Conv2d-5,32,32,3,3,80,192,1,
Conv2d-6,30,30,1,1,192,64,1,
Conv2d-7,30,30,1,1,192,48,1,
Conv2d-8,30,30,5,5,48,64,1,
Conv2d-9,30,30,1,1,192,64,1,
Conv2d-10,30,30,3,3,64,96,1,
Conv2d-11,30,30,3,3,96,96,1,
Conv2d-12,30,30,3,3,192,32,1,
Conv2d-13,30,30,1,1,256,64,1,
Conv2d-14,30,30,1,1,256,48,1,
Conv2d-15,30,30,5,5,48,64,1,
Conv2d-16,30,30,1,1,256,64,1,
Conv2d-17,30,30,3,3,64,96,1,
Conv2d-18,30,30,3,3,96,96,1,
Conv2d-19,30,30,3,3,256,64,1,
Conv2d-20,30,30,1,1,288,64,1,
Conv2d-21,30,30,1,1,288,48,1,
Conv2d-22,30,30,5,5,48,64,1,
Conv2d-23,30,30,1,1,288,64,1,
Conv2d-24,30,30,3,3,64,96,1,
Conv2d-25,30,30,3,3,96,96,1,
Conv2d-26,30,30,3,3,288,64,1,
Conv2d-27,30,30,3,3,288,384,2,
Conv2d-28,30,30,1,1,288,64,1,
Conv2d-29,30,30,3,3,64,96,1,
Conv2d-30,30,30,3,3,96,96,2,
Conv2d-31,14,14,1,1,768,192,1,
Conv2d-32,14,14,1,1,768,128,1,
Conv2d-33,14,14,7,1,128,128,1,
Conv2d-34,14,14,1,7,128,192,1,
Conv2d-35,14,14,1,1,768,128,1,
Conv2d-36,14,14,7,1,128,128,1,
Conv2d-37,14,14,1,7,128,128,1,
Conv2d-38,14,14,7,1,128,128,1,
Conv2d-39,14,14,1,7,128,192,1,
Conv2d-40,14,14,1,1,768,192,1,
Conv2d-41,14,14,1,1,768,192,1,
Conv2d-42,14,14,1,1,768,160,1,
Conv2d-43,14,14,7,1,160,160,1,
Conv2d-44,14,14,1,7,160,192,1,
Conv2d-45,14,14,1,1,768,160,1,
Conv2d-46,14,14,7,1,160,160,1,
Conv2d-47,14,14,1,7,160,160,1,
Conv2d-48,14,14,7,1,160,160,1,
Conv2d-49,14,14,1,7,160,192,1,
Conv2d-50,14,14,1,1,768,192,1,
Conv2d-51,14,14,1,1,768,192,1,
Conv2d-52,14,14,1,1,768,160,1,
Conv2d-53,14,14,7,1,160,160,1,
Conv2d-54,14,14,1,7,160,192,1,
Conv2d-55,14,14,1,1,768,160,1,
Conv2d-56,14,14,7,1,160,160,1,
Conv2d-57,14,14,1,7,160,160,1,
Conv2d-58,14,14,7,1,160,160,1,
Conv2d-59,14,14,1,7,160,192,1,
Conv2d-60,14,14,1,1,768,192,1,
Conv2d-61,14,14,1,1,768,192,1,
Conv2d-62,14,14,1,1,768,192,1,
Conv2d-63,14,14,7,1,192,192,1,
Conv2d-64,14,14,1,7,192,192,1,
Conv2d-65,14,14,1,1,768,192,1,
Conv2d-66,14,14,7,1,192,192,1,
Conv2d-67,14,14,1,7,192,192,1,
Conv2d-68,14,14,7,1,192,192,1,
Conv2d-69,14,14,1,7,192,192,1,
Conv2d-70,14,14,1,1,768,192,1,
Conv2d-71,14,14,1,1,768,192,1,
Conv2d-72,14,14,3,3,192,320,2,
Conv2d-73,14,14,1,1,768,192,1,
Conv2d-74,14,14,1,7,192,192,1,
Conv2d-75,14,14,7,1,192,192,1,
Conv2d-76,14,14,3,3,192,192,2,
Conv2d-77,6,6,1,1,1280,320,1,
Conv2d-78,6,6,1,1,1280,384,1,
Conv2d-79,6,6,1,3,384,384,1,
Conv2d-80,6,6,3,1,384,384,1,
Conv2d-81,6,6,1,1,1280,448,1,
Conv2d-82,6,6,3,3,448,384,1,
Conv2d-83,6,6,1,3,384,384,1,
Conv2d-84,6,6,3,1,384,384,1,
Conv2d-85,6,6,1,1,1280,192,1,
Conv2d-86,6,6,1,1,2048,320,1,
Conv2d-87,6,6,1,1,2048,384,1,
Conv2d-88,6,6,1,3,384,384,1,
Conv2d-89,6,6,3,1,384,384,1,
Conv2d-90,6,6,1,1,2048,448,1,
Conv2d-91,6,6,3,3,448,384,1,
Conv2d-92,6,6,1,3,384,384,1,
Conv2d-93,6,6,3,1,384,384,1,
Conv2d-94,6,6,1,1,2048,192,1,
Linear-95,1,1,1,1,2048,10,1,
