Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv2d-85,8,8,3,3,128,32,1,
Conv2d-86,8,8,1,1,992,128,1,
Conv2d-87,8,8,3,3,128,32,1,
Conv2d-88,8,8,1,1,1024,128,1,
Conv2d-89,8,8,3,3,128,32,1,
Conv2d-90,8,8,1,1,1056,128,1,
Conv2d-91,8,8,3,3,128,32,1,
Conv2d-92,8,8,1,1,1088,128,1,
Conv2d-93,8,8,3,3,128,32,1,
Conv2d-94,8,8,1,1,1120,128,1,
Conv2d-95,8,8,3,3,128,32,1,
Conv2d-96,8,8,1,1,1152,128,1,
Conv2d-97,8,8,3,3,128,32,1,
Conv2d-98,8,8,1,1,1184,128,1,
Conv2d-99,8,8,3,3,128,32,1,
Conv2d-100,8,8,1,1,1216,128,1,
Conv2d-101,8,8,3,3,128,32,1,
Conv2d-102,8,8,1,1,1248,128,1,
Conv2d-103,8,8,3,3,128,32,1,
Conv2d-104,8,8,1,1,1280,128,1,
Conv2d-105,8,8,3,3,128,32,1,
Conv2d-106,8,8,1,1,1312,128,1,
Conv2d-107,8,8,3,3,128,32,1,
Conv2d-108,8,8,1,1,1344,128,1,
Conv2d-109,8,8,3,3,128,32,1,
Conv2d-110,8,8,1,1,1376,128,1,
Conv2d-111,8,8,3,3,128,32,1,
Conv2d-112,8,8,1,1,1408,128,1,
Conv2d-113,8,8,3,3,128,32,1,
Conv2d-114,8,8,1,1,1440,128,1,
Conv2d-115,8,8,3,3,128,32,1,
Conv2d-116,8,8,1,1,1472,128,1,
Conv2d-117,8,8,3,3,128,32,1,
Conv2d-118,8,8,1,1,1504,128,1,
Conv2d-119,8,8,3,3,128,32,1,
Conv2d-120,8,8,1,1,1536,128,1,
Conv2d-121,8,8,3,3,128,32,1,
Conv2d-122,8,8,1,1,1568,128,1,
Conv2d-123,8,8,3,3,128,32,1,
Conv2d-124,8,8,1,1,1600,128,1,
Conv2d-125,8,8,3,3,128,32,1,
Conv2d-126,8,8,1,1,1632,128,1,
Conv2d-127,8,8,3,3,128,32,1,
Conv2d-128,8,8,1,1,1664,128,1,
Conv2d-129,8,8,3,3,128,32,1,
Conv2d-130,8,8,1,1,1696,128,1,
Conv2d-131,8,8,3,3,128,32,1,
Conv2d-132,8,8,1,1,1728,128,1,
Conv2d-133,8,8,3,3,128,32,1,
Conv2d-134,8,8,1,1,1760,128,1,
Conv2d-135,8,8,3,3,128,32,1,
Conv2d-136,8,8,1,1,1792,896,1,
Conv2d-137,4,4,1,1,896,128,1,
Conv2d-138,4,4,3,3,128,32,1,
Conv2d-139,4,4,1,1,928,128,1,
Conv2d-140,4,4,3,3,128,32,1,
Conv2d-141,4,4,1,1,960,128,1,
Conv2d-142,4,4,3,3,128,32,1,
Conv2d-143,4,4,1,1,992,128,1,
Conv2d-144,4,4,3,3,128,32,1,
Conv2d-145,4,4,1,1,1024,128,1,
Conv2d-146,4,4,3,3,128,32,1,
Conv2d-147,4,4,1,1,1056,128,1,
Conv2d-148,4,4,3,3,128,32,1,
Conv2d-149,4,4,1,1,1088,128,1,
Conv2d-150,4,4,3,3,128,32,1,
Conv2d-151,4,4,1,1,1120,128,1,
Conv2d-152,4,4,3,3,128,32,1,
Conv2d-153,4,4,1,1,1152,128,1,
Conv2d-154,4,4,3,3,128,32,1,
Conv2d-155,4,4,1,1,1184,128,1,
Conv2d-156,4,4,3,3,128,32,1,
Conv2d-157,4,4,1,1,1216,128,1,
Conv2d-158,4,4,3,3,128,32,1,
Conv2d-159,4,4,1,1,1248,128,1,
Conv2d-160,4,4,3,3,128,32,1,
Conv2d-161,4,4,1,1,1280,128,1,
Conv2d-162,4,4,3,3,128,32,1,
Conv2d-163,4,4,1,1,1312,128,1,
Conv2d-164,4,4,3,3,128,32,1,
Conv2d-165,4,4,1,1,1344,128,1,
Conv2d-166,4,4,3,3,128,32,1,
Conv2d-167,4,4,1,1,1376,128,1,
Conv2d-168,4,4,3,3,128,32,1,
Conv2d-169,4,4,1,1,1408,128,1,
Conv2d-170,4,4,3,3,128,32,1,
Conv2d-171,4,4,1,1,1440,128,1,
Conv2d-172,4,4,3,3,128,32,1,
Conv2d-173,4,4,1,1,1472,128,1,
Conv2d-174,4,4,3,3,128,32,1,
Conv2d-175,4,4,1,1,1504,128,1,
Conv2d-176,4,4,3,3,128,32,1,
Conv2d-177,4,4,1,1,1536,128,1,
Conv2d-178,4,4,3,3,128,32,1,
Conv2d-179,4,4,1,1,1568,128,1,
Conv2d-180,4,4,3,3,128,32,1,
Conv2d-181,4,4,1,1,1600,128,1,
Conv2d-182,4,4,3,3,128,32,1,
Conv2d-183,4,4,1,1,1632,128,1,
Conv2d-184,4,4,3,3,128,32,1,
Conv2d-185,4,4,1,1,1664,128,1,
Conv2d-186,4,4,3,3,128,32,1,
Conv2d-187,4,4,1,1,1696,128,1,
Conv2d-188,4,4,3,3,128,32,1,
Conv2d-189,4,4,1,1,1728,128,1,
Conv2d-190,4,4,3,3,128,32,1,
Conv2d-191,4,4,1,1,1760,128,1,
Conv2d-192,4,4,3,3,128,32,1,
Conv2d-193,4,4,1,1,1792,128,1,
Conv2d-194,4,4,3,3,128,32,1,
Conv2d-195,4,4,1,1,1824,128,1,
Conv2d-196,4,4,3,3,128,32,1,
Conv2d-197,4,4,1,1,1856,128,1,
Conv2d-198,4,4,3,3,128,32,1,
Conv2d-199,4,4,1,1,1888,128,1,
Conv2d-200,4,4,3,3,128,32,1,
Linear-201,1,1,1,1,1920,10,1,
